itemName,date,price1,price10,price100
Adventurer Skull,09-07-2022,959,11995,99000
Al Howin's False Teeth,09-07-2022,999,17500,
Alabaster Dreggon Claw,09-07-2022,15948,178999,2200000
Albino Crocodyl's Eye,09-07-2022,7499,41997,
Almond Dragoturkey Peak,09-07-2022,80,847,9787
Aluminite,09-07-2022,699,4997,54999
Amber Prysmaradite,09-07-2022,3000,14994,79687
Ambusher Bud,09-07-2022,586,6800,41799
Ancestral Treechnid Bark,09-07-2022,489,2685,
Ancestral Treechnid Bud,09-07-2022,1785,17956,
Ancestral Treechnid Essence,09-07-2022,2497,29999,
Anti-Whirlpool Ballast,09-07-2022,340000,,
Apewicubic Bearbarian Ear,09-07-2022,3996,37989,600000
Apewicubic Bearbarian V...,09-07-2022,2500,27999,290000
Arachmutated Eye,09-07-2022,58,595,9995
Ardonite,09-07-2022,14330,136942,1269999
Asploda Eye,09-07-2022,383,4484,44858
Azure Prysmaradite,09-07-2022,1896,17992,189990
Bakelelite,09-07-2022,5553,49999,
Bakusharna Animal Legend,09-07-2022,3999986,,
Bamboo Blowgun,09-07-2022,91,990,13988
Bandijd Tooth,09-07-2022,1200,12993,169945
Barbakle Barb,09-07-2022,362,5868,59000
Barkritter Bark,09-07-2022,2445,28000,500000
Barley,09-07-2022,8,181,
Batofu Essence,09-07-2022,1991,29990,399999
Beach Towel,09-07-2022,68,811,14997
Bellilith Diadem,09-07-2022,28659,328858,
Bestial Brockhard Claw,09-07-2022,1077,11080,209999
Bethel Akarna Essence,09-07-2022,729993,,
Big Cannonball,09-07-2022,2798,29999,
Big Phial,09-07-2022,565,4247,33699
Bionic Eye,09-07-2022,49,500,
Black Rat Essence,09-07-2022,19000,199999,
Black Scaraleaf Carapace,09-07-2022,264,3289,18899
Black Tofu Eye,09-07-2022,179,1199,10878
Bliblido Horn,09-07-2022,5800,96926,
Bliblirect Fabric,09-07-2022,321,4106,22752
Bliblycerin Hoof,09-07-2022,984,15584,153899
Bliblycerin Tusk,09-07-2022,718,7279,51676
Bloody Fabric,09-07-2022,24999,199999,
Bloody Koalak Boomerang,09-07-2022,9989,259987,
Blue Carapace,09-07-2022,547,4779,36498
Blue Scaraleaf Carapace,09-07-2022,79,1098,18888
Boar Fabric,09-07-2022,32,233,2747
Boar Tusk,09-07-2022,166,1000,6788
Bone Fragment,09-07-2022,174,1995,17000
Boogranny Canine,09-07-2022,62,1950,9997
Boopig Eye,09-07-2022,267,3900,29794
Boostache Essence,09-07-2022,9988,131999,
Boowolf Fabric,09-07-2022,737,13989,99878
Brassic,09-07-2022,9679,99879,
Bright Hop,09-07-2022,2897,,
Broken Trident,09-07-2022,37,800,9972
Brown Warko Boomerang,09-07-2022,141,3555,98991
Brutatax Essence,09-07-2022,9400,94999,
Bubotron Beak,09-07-2022,8900,,
Buck Anear Essence,09-07-2022,17997,179998,
Buck Anear Scapula,09-07-2022,2983,57900,
Burnt Minotoror Horn,09-07-2022,1399,,
Buzta Ear,09-07-2022,419,4498,24895
Bworker Essence,09-07-2022,199499,,
Bworker Nail,09-07-2022,18440,164952,1789000
Bworkette Essence,09-07-2022,790,29980,
Calleyat Ear,09-07-2022,1175,18995,
Cannicody! Canine,09-07-2022,38999,98967,
Captain Scarlight Essence,09-07-2022,19999,250000,
Cauldini Essence,09-07-2022,18985,160000,
Cauldini Fabric,09-07-2022,18469,,
Celestial Bearbarian Essence,09-07-2022,44999,449985,
Celestial Bearbarian Hamate,09-07-2022,9949,,
Chafer Archer Thighbone,09-07-2022,33,440,4440
Chafer Bone,09-07-2022,17,119,2959
Chafer Foot Soldier's Sur...,09-07-2022,399,9989,210000
Chafer Skull,09-07-2022,294,3999,29994
Chika Rat's Lance,09-07-2022,553,6047,49995
Clay Dreggon Egg,09-07-2022,105,1040,10989
Coal Dreggon Egg,09-07-2022,8,157,
Colousses Essence,09-07-2022,4900,49000,
Coral Prysmaradite,09-07-2022,3998,39813,
Coralator Coccyx,09-07-2022,86,999,9983
Coralator Fabric,09-07-2022,1198,13998,
Corn,09-07-2022,49998,400,3500
Corruption Essence,09-07-2022,499000,,
Corruption's Horn,09-07-2022,29864,244744,
Count Harebourg Essence,09-07-2022,837999,,
Count Harebourg's Scapula,09-07-2022,31000,279999,
Count Razof Essence,09-07-2022,65000,,
Crab Pincer,09-07-2022,790,8695,88856
Crabeye Eye,09-07-2022,497,3139,46521
Crabeye Pincer,09-07-2022,77,547,4332
Craboral Pincer,09-07-2022,7,8,1895
Crackler's Gold Tooth,09-07-2022,439,4995,
Cracklope Eye,09-07-2022,218,2695,19559
Crimson Prysmaradite,09-07-2022,377961,3451677,
Crocabulia Essence,09-07-2022,3385,,
Crocabulia Tooth,09-07-2022,2497,49885,
Crocabulia's Broken Horn,09-07-2022,8100,,
Crocodyl Bone,09-07-2022,77,500,12663
Crocodyl Chief Skull,09-07-2022,161,2390,24597
Crocodyl Teeth,09-07-2022,1950,24998,349971
Cross Strich Egg,09-07-2022,1998,,
Cross Strich Essence,09-07-2022,15691,149999,
Crovus Eye,09-07-2022,665,6985,66237
Crushmore Claw,09-07-2022,1398,14396,141988
Cyan Prysmaradite,09-07-2022,4499,48995,4200000
Cycloid Eye,09-07-2022,11399,122000,
Cyclouse Tooth,09-07-2022,466,6985,79997
Dalbweel Knife,09-07-2022,145,2886,28884
Damadrya Essence,09-07-2022,8690,150000,
Damadrya's Exploding Bud,09-07-2022,1900,9385,110999
Dantinea Essence,09-07-2022,299974,,
Dantinea's Dentures,09-07-2022,49684,489837,
Dark Court Fabric,09-07-2022,6199,61899,
Dark Tissue,09-07-2022,268,3799,20870
Dark Treechnee Bark,09-07-2022,139,1361,12975
Dawaj Eye,09-07-2022,6995,74999,
Dazahk Freezammer Ess¢ ...,09-07-2022,280000,,
Dead Key Tooth,09-07-2022,4983,19987,
Deboning Ribs,09-07-2022,1629,16984,
Dedbomb Grenade,09-07-2022,1746,17966,169843
Deminoball Horn,09-07-2022,3651,34999,
Demonic Appendix,09-07-2022,12892,129739,1490000
Dethornit Stinger,09-07-2022,2000,22000,
Diamondine's Damaged [ ...,09-07-2022,85,13994,22896
Dimensional Fabric,09-07-2022,7307,64883,774999
Director Grunob Essence,09-07-2022,60,490,10000
Dodox Beak,09-07-2022,1999,27899,
Dok Alako Boomerang,09-07-2022,399,6444,57874
Dok Alako Fabric,09-07-2022,497,4999,139976
Double Swell Warrior Ear,09-07-2022,28,128,1979
Draegnerys Essence,09-07-2022,3382,38890,
Draegnerys's Cloth,09-07-2022,382,2580,32890
Dragmatic Horn,09-07-2022,2146,24080,299999
Dragnnoyed Horn,09-07-2022,1431,17565,167994
Dragon Pig Essence,09-07-2022,6995,,
Dragon Pig Horn,09-07-2022,1396,14996,
Dragon Pig Skull,09-07-2022,2695,26666,
Dragoturkey Teeth,09-07-2022,190,1000,9992
Dramak Essence,09-07-2022,27889,344995,
Dramanita Eye,09-07-2022,1289,17886,
Draugur Chafer Jaw,09-07-2022,14,568,3965
Dream Reflection,09-07-2022,200,1999,4999
Drheamer Claw,09-07-2022,1697,13498,46600
Drheller Tooth,09-07-2022,,250000,2500000
Drhossil Essence,09-07-2022,16997,,
Drhossil Tusk,09-07-2022,1944,16996,199988
Drowhirl Lance Tip,09-07-2022,2397,14990,349998
Drumurai Breastplate,09-07-2022,1199,13998,140000
Dumple Fabric,09-07-2022,4443,47899,
Earth Kwak Beak,09-07-2022,139,2455,23992
Ebonite,09-07-2022,2746,25837,249991
El Spiko,09-07-2022,896,7889,74229
Element Flask,09-07-2022,1450,11882,119690
Elite Chafer Arrowhead,09-07-2022,644,6899,49987
Elite Chafer Dentures,09-07-2022,195,2779,31999
Emerald Larva Tooth,09-07-2022,232,4798,25990
Emerald Prysmaradite,09-07-2022,400,7859,
Empty Crab Carapace,09-07-2022,37,350,3998
Equipped Chest's Dentures,09-07-2022,390,9984,66982
Esurient Bearbarian Fabric,09-07-2022,8899,96997,
Esurient Bearbarian Incisor,09-07-2022,6478,66795,
Eternal Conflict's Nightm: ...,09-07-2022,666661,6999986,
Euphoric Hemp,09-07-2022,139992,,
Famished Sunflower Esse ...,09-07-2022,2349,39394,
Fangshu Spearhead,09-07-2022,345,3888,39800
Fear-Catcher,09-07-2022,1499990,,
Felygiene Canine,09-07-2022,999,49981,
Felygiene Claw,09-07-2022,110,1109,
Ferrite,09-07-2022,14,118,1290
Fir-Green Prysmaradite,09-07-2022,51789,956395,
Fire Kwak Beak,09-07-2022,230,2998,34999
Firefoux Fabric,09-07-2022,520,4990,49799
Fisheralak Bone,09-07-2022,,10998,109998
Fistulina Ear,09-07-2022,2857,29993,
Flask of Draconic Gas,09-07-2022,87799,,
Flask of Nelween Smoke,09-07-2022,1480,26123,150000
Flatt Rat's Ear,09-07-2022,625,7979,77548
Flax,09-07-2022,,170,1650
Flax Fibre,09-07-2022,399,4899,47999
Flib's Stump,09-07-2022,350,5437,104998
Floramor Bark,09-07-2022,894,,133329
Founoroshi Essence,09-07-2022,23499,200000,
Foxfyter Ear,09-07-2022,1199,1988,8997
Foxfyter Fabric,09-07-2022,1494,16795,149953
Fraktal Essence,09-07-2022,149997,,
Frighog Baleful Eye,09-07-2022,400,3989,39996
Frighog Pierced Ear,09-07-2022,2799,2554,19981
Frosteez,09-07-2022,1490,1499,9631
Frozen Fabric,09-07-2022,6395,89851,
Fuji Snowfoux Condyle,09-07-2022,28975,277777,
Fuji Snowfoux Essence,09-07-2022,109998,,
Gargantula Teeth,09-07-2022,1300,15999,
Garglyph Tooth,09-07-2022,438,9786,198096
Ghouligan Eye,09-07-2022,4976,49400,540000
Ghoulutton Nail,09-07-2022,568,5547,
Giant Kralove Essence,09-07-2022,48887,480000,
Ginger Dragoturkey Peak,09-07-2022,90,299,4443
Glass Bowl,09-07-2022,,3000,30998
Glass Eye,09-07-2022,64344,,
Glo Wabbit Ears,09-07-2022,2435,22000,
Gluttonous Brockhard Ma ...,09-07-2022,981,12000,
Gobball War Chief Horn,09-07-2022,289,2983,29982
Gobbly Eye,09-07-2022,12,180,1199
Gobbly Horn,09-07-2022,18,190,1888
Gobelishous's Chewed Bone,09-07-2022,620,6977,
Gobkool Horn,09-07-2022,299,3994,174900
Goblin Eye Tooth,09-07-2022,378,2990,18976
Gobshell Egg,09-07-2022,2296,38799,
Gold-Bearing Oats,09-07-2022,3999,,
Golden Dragoturkey Peak,09-07-2022,343,3756,31969
Golden Larva Tooth,09-07-2022,10493,119996,
Golden Scarabugly Carar ...,09-07-2022,300,2444,
Golden Scarabugly Essence,09-07-2022,17999,,
Golden Wheat,09-07-2022,3975,,
Gourlo the Terrible Essence,09-07-2022,17896,279999,
Gourlo the Terrible Fabric,09-07-2022,8996,,
Grabba Radius,09-07-2022,1398,14987,
Grasmera's Bony Joint,09-07-2022,2199,21995,
Greaseball Bomb,09-07-2022,295,2775,9998
Greaseball Fabric,09-07-2022,272,3722,31697
Great Coralator Essence,09-07-2022,13876,149998,
Great Sacrum,09-07-2022,43,490,6500
Green Carapace,09-07-2022,148,1780,13883
Green Scaraleaf Carapace,09-07-2022,40,780,7222
Grohlum Essence,09-07-2022,499997,,
Grozilla False Tooth,09-07-2022,14993,,
Gullipop Beak,09-07-2022,1933,1927,19846
Gwandpa Wabbit Ear,09-07-2022,60,646,7845
Gwass Bark,09-07-2022,11894,118973,1200000
Harpo Eye,09-07-2022,44956,539983,
Harrogant Eye,09-07-2022,1539,15484,163999
Healing Branch Eye,09-07-2022,4000,47998,
Hell Mina Essence,09-07-2022,74492,800000,
Hemp,09-07-2022,,500,1999
Hemp Fibre,09-07-2022,93,972,9774
Hintense Eye,09-07-2022,6263,61593,839115
Hop,09-07-2022,,399,
Hurtful Locker Horn,09-07-2022,98,495,5196
Husse Malt,09-07-2022,13194,,
Hydraulic Wheel,09-07-2022,299984,,
Hystairkal Horn,09-07-2022,4496,59998,600000
Ice Kwak Beak,09-07-2022,227,2499,24589
Icy Brockhard Ear,09-07-2022,8985,,
Icy Brockhard Molar,09-07-2022,12358,198000,1299999
Ilyzaelle Essence,09-07-2022,1675000,,
Indigo Prysmaradite,09-07-2022,8379,78933,
Invisible Chafer Bone,09-07-2022,190,3811,34795
Invisible Fabric,09-07-2022,539,5992,663800
Itsh Spine,09-07-2022,9489,99998,
Ivory,09-07-2022,480,5998,89898
Jade Prysmaradite,09-07-2022,141,2795,65950
Janus Wabbit Eye,09-07-2022,3997,34988,
Jiangshi-Nobi Bone,09-07-2022,828,3497,34000
Jumparak Eye,09-07-2022,700,8894,91999
Kabaal's Broken Sceptre,09-07-2022,114426,1030349,
Kabushido Shoulder Pad,09-07-2022,697,8996,99999
Kami Snowfoux Cornea,09-07-2022,3398,38900,
Kami Snowfoux Incisor,09-07-2022,9996,108982,1450000
Kan-O-Mat Canine,09-07-2022,791,7599,137994
Kan-O-Mat Claw,09-07-2022,5780,49993,
Kanazure Ear,09-07-2022,1495,16536,209867
Kanazure Fabric,09-07-2022,4298,49999,
Kaniger Eye,09-07-2022,681,5987,38968
Kaniger Nail,09-07-2022,634,4985,39966
